Date	Flitch	Digiblock ID	Stage	RL	Material Type	Tonnes	Grade
23/07/2025	1	CPO_1_4850_0033_LG_001	1	4850	LG	1,535	0.81
23/07/2025	1	CPO_1_4850_0033_LG_002	1	4850	LG	599	0.79
23/07/2025	1	CPO_1_4850_0033_MW_001	1	4850	MW	1,557	0.67
23/07/2025	1	CPO_1_4850_0033_MW_002	1	4850	MW	725	0.46
23/07/2025	1	CPO_1_4850_0033_MW_003	1	4850	MW	713	0.54
23/07/2025	1	CPO_1_4850_0033_MW_004	1	4850	MW	169	0.63
23/07/2025	3	CPO_1_4800_0033_HG_002	1	4800	HG	2,345	2.95
23/07/2025	2	CPO_1_4825_0033_LG_001	1	4825	LG	1,431	0.73
23/07/2025	2	CPO_1_4825_0033_LG_002	1	4825	LG	2,121	1.16
23/07/2025	2	CPO_1_4825_0033_LG_003	1	4825	LG	872	1.11
23/07/2025	2	CPO_1_4825_0033_MW _001	1	4825	MW	940	0.60
23/07/2025	2	CPO_1_4825_0033_MW_002	1	4825	MW	534	0.48
23/07/2025	2	CPO_1_4825_0033_MW_003	1	4825	MW	2,354	0.42
23/07/2025	2	CPO_1_4825_0033_MW_004	1	4825	MW	665	0.70
23/07/2025	2	CPO_1_4825_0033_MW_005	1	4825	MW	684	0.69
23/07/2025	2	CPO_1_4825_0033_HG_002	1	4825	HG	1,861	2.30
23/07/2025	2	CPO_1_4825_0033_HG_003	1	4825	HG	2,311	2.11
23/07/2025	3	CPO_1_4800_0033_HG_001	1	4800	HG	1,872	1.59
23/07/2025	3	CPO_1_4800_0033_LG_002	1	4800	LG	2,969	0.59
23/07/2025	3	CPO_1_4800_0033_LG_001	1	4800	LG	1,201	0.56
23/07/2025	1	CPO_1_4850_0033_HG_001	1	4850	HG	1,910	2.02
23/07/2025	2	CPO_1_4825_0033_HG_001	1	4825	HG	876	1.74
23/07/2025	3	CPO_1_4800_0033_MW_001	1	4800	MW	469	0.44
24/07/2025	3	CPO_1_4800_0043_HG_001	1	4800	HG	1,924	3.13
24/07/2025	3	CPO_1_4800_0043_HG_002	1	4800	HG	3,237	3.81
24/07/2025	3	CPO_1_4800_0043_LG_001	1	4800	LG	2,758	0.72
24/07/2025	3	CPO_1_4800_0043_LG_002	1	4800	LG	1,261	0.88
24/07/2025	3	CPO_1_4800_0043_LG_003	1	4800	LG	1,245	0.56
24/07/2025	3	CPO_1_4800_0043_LG_004	1	4800	MW	567	0.53
24/07/2025	2	CPO_1_4825_0043_HG_001	1	4825	HG	2,068	3.22
24/07/2025	2	CPO_1_4825_0043_LG_001	1	4825	LG	4,297	1.10
24/07/2025	2	CPO_1_4825_0043_LG_002	1	4825	LG	866	0.75
24/07/2025	2	CPO_1_4825_0043_MW_001	1	4825	MW	2,849	0.44
24/07/2025	2	CPO_1_4825_0043_MW_002	1	4825	MW	2,018	0.47
24/07/2025	2	CPO_1_4825_0043_MW_003	1	4825	MW	1,798	0.52
24/07/2025	2	CPO_1_4825_0043_MW_004	1	4825	MW	544	0.47
24/07/2025	1	CPO_1_4850_0043_LG_001	1	4850	LG	1,287	0.95
24/07/2025	1	CPO_1_4850_0043_LG_002	1	4850	LG	477	0.99
24/07/2025	1	CPO_1_4850_0043_MW_001	1	4850	MW	906	0.42
24/07/2025	1	CPO_1_4850_0043_MW_002	1	4850	MW	286	0.72
24/07/2025	1	CPO_1_4850_0043_MW_003	1	4850	MW	923	0.50
24/07/2025	1	CPO_1_4850_0043_HG_001	1	4850	HG	411	1.65
25/07/2025	1	CPO_1_4850_0034_MW_001	1	4850	MW	1,828	0.43
25/07/2025	1	CPO_1_4850_0034_MW_002	1	4850	MW	2,226	0.66
25/07/2025	2	CPO_1_4800_0034_LG_001	1	4800	LG	9,641	0.58
27/07/2025	1	CPO_1_4825_0034_MW_001	1	4825	MW	2,768	0.53
27/07/2025	1	CPO_1_4825_0034_MW_002	1	4825	MW	9,581	0.48
27/07/2025	1	CPO_1_4850_0024_MW_001	1	4850	MW	416	0.408
27/07/2025	1	CPO_1_4850_0024_MW_002	1	4850	MW	1,271	0.411
27/07/2025	1	CPO_1_4825_0024_MW_001	1	4825	MW	1,643	0.50
27/07/2025	1	CPO_1_4825_0024_MW_002	1	4825	MW	2,265	0.43
27/07/2025	2	CPO_1_4800_0024_MW_001	1	4800	MW	2,032	0.46
28/07/2025	1	CPO_2_4825_0056_HG_001	2	4825	HG	5,794	2.00
28/07/2025	1	CPO_2_4825_0056_LG_001	2	4825	LG	951	1.20
28/07/2025	1	CPO_2_4825_0056_LG_002	2	4825	LG	4,848	0.80
28/07/2025	2	CPO_2_4800_0056_HG_001	2	4800	HG	1,793	2.23
28/07/2025	2	CPO_2_4800_0056_HG_003	2	4800	HG	1,674	2.01
28/07/2025	2	CPO_2_4800_0056_HG_002	2	4800	HG	1,891	1.99
28/07/2025	2	CPO_2_4800_0056_LG_001	2	4800	LG	2,547	0.84
28/07/2025	2	CPO_2_4800_0056_LG_002	2	4800	LG	4,913	0.73
29/07/2025	1	CPO_2_4825_0066_HG_001	2	4825	HG	4,219	1.77
29/07/2025	1	CPO_2_4825_0066_LG_002	2	4825	LG	2,531	1.04
29/07/2025	1	CPO_2_4825_0066_LG_001	2	4825	LG	982	0.93
29/07/2025	1	CPO_2_4825_0066_LG_003	2	4825	LG	7,024	0.58
29/07/2025	2	CPO_2_4800_0066_HG_001	2	4800	HG	3,368	1.71
29/07/2025	2	CPO_2_4800_0066_LG_001	2	4800	LG	3,205	0.75
29/07/2025	2	CPO_2_4800_0066_LG_002	2	4800	LG	3,063	1.30
29/07/2025	2	CPO_2_4800_0066_LG_003	2	4800	LG	2,459	0.86
29/07/2025	2	CPO_2_4800_0066_LG_004	2	4800	LG	1,751	0.52
29/07/2025	2	CPO_2_4800_0066_LG_005	2	4800	LG	1,554	0.72
29/07/2025	2	CPO_2_4800_0066_LG_006	2	4800	LG	2,155	0.64
29/07/2025	2	CPO_2_4800_0066_LG_007	2	4800	LG	2,503	0.55
2/08/2025	1	CPO_1_4825_0053_LG_001	1	4825	LG	595	0.91
2/08/2025	1	CPO_1_4825_0053_LG_002	1	4825	LG	3,260	0.96
2/08/2025	1	CPO_1_4825_0053_LG_003	1	4825	LG	8,220	0.51
2/08/2025	1	CPO_1_4825_0053_LG_004	1	4825	LG	2,604	0.53
2/08/2025	2	CPO_1_4800_0053_HG_001	1	4800	HG	3,093	3.66
2/08/2025	2	CPO_1_4800_0053_HG_002	1	4800	HG	1,306	2.48
2/08/2025	2	CPO_1_4800_0053_HG_003	1	4800	HG	1,255	1.54
2/08/2025	2	CPO_1_4800_0053_LG_001	1	4800	LG	828	0.89
2/08/2025	2	CPO_1_4800_0053_LG_002	1	4800	LG	739	1.03
2/08/2025	2	CPO_1_4800_0053_LG_003	1	4800	LG	2,308	0.58
2/08/2025	2	CPO_1_4800_0053_LG_004	1	4800	LG	974	1.11
2/08/2025	2	CPO_1_4800_0053_LG_005	1	4800	LG	2,018	0.71
2/08/2025	2	CPO_1_4800_0053_LG_006	1	4800	LG	2,546	0.58
2/08/2025	2	CPO_1_4800_0053_LG_007	1	4800	LG	830	1.41
2/08/2025	2	CPO_1_4800_0053_MW_001	1	4800	MW	1,341	0.49
17/08/2025	1	CPO_1_4825_0063_MW_001	1	4825	MW	698	0.45
17/08/2025	2	CPO_1_4800_0063_LG_001	1	4800	LG	702	0.55